Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.18,-.30,-.05,-.39,-.14,-.02,-.80,-.52,-.29,-.17,-.11,-.05,.05,.69
1881,-.09,-.18,.00,-.35,.09,-.07,-.83,-.46,-.20,.08,.10,-.06,-.07,.62
1882,-.11,-.22,-.01,-.31,-.06,.01,-1.33,-.28,-.15,-.07,-.05,.01,.04,.65
1883,-.17,-.28,-.07,-.33,-.18,-.01,-.12,-.55,-.25,-.20,-.16,-.04,.07,.52
1884,-.28,-.43,-.15,-.60,-.16,-.14,-1.25,-.64,-.46,-.14,-.17,-.20,-.02,.67
1885,-.34,-.44,-.25,-.65,-.15,-.27,-1.46,-.69,-.46,-.09,-.21,-.34,-.15,.84
1886,-.32,-.44,-.20,-.56,-.21,-.21,-1.54,-.51,-.40,-.24,-.18,-.20,-.20,.61
1887,-.37,-.45,-.29,-.52,-.32,-.28,-1.72,-.50,-.30,-.33,-.31,-.28,-.26,.34
1888,-.18,-.25,-.11,-.42,.09,-.29,-1.26,-.44,-.25,.04,.14,-.31,-.23,.18
1889,-.11,-.18,-.04,-.29,.07,-.16,-.64,-.23,-.28,-.01,.15,-.15,-.15,.47
1890,-.36,-.40,-.32,-.46,-.38,-.22,-1.09,-.57,-.28,-.29,-.47,-.18,-.27,.17
1891,-.23,-.26,-.19,-.41,-.09,-.21,-1.06,-.33,-.36,-.02,-.17,-.18,-.24,-.14
1892,-.27,-.40,-.15,-.42,-.31,-.08,-1.07,-.64,-.17,-.36,-.26,.02,-.21,.11
1893,-.31,-.47,-.15,-.50,-.37,-.05,-.61,-.53,-.47,-.44,-.31,.07,-.20,-.02
1894,-.31,-.39,-.22,-.32,-.35,-.24,-.92,-.32,-.19,-.51,-.19,-.15,-.35,-.36
1895,-.23,-.31,-.15,-.40,-.09,-.26,-.66,-.52,-.27,-.17,.00,-.19,-.32,-.56
1896,-.12,-.20,-.03,-.35,.08,-.15,-.86,-.37,-.23,.03,.14,-.15,-.13,.28
1897,-.11,-.17,-.05,-.35,.15,-.23,-.54,-.46,-.25,.11,.20,-.19,-.27,.42
1898,-.28,-.30,-.26,-.36,-.24,-.26,-1.17,-.25,-.24,-.21,-.26,-.28,-.21,.40
1899,-.18,-.22,-.14,-.24,-.13,-.19,-1.04,-.09,-.15,-.18,-.08,-.15,-.22,.60
1900,-.09,-.11,-.07,-.21,.16,-.30,-.56,-.17,-.16,.06,.25,-.29,-.29,.29
1901,-.16,-.13,-.18,-.17,-.05,-.30,-.37,-.12,-.15,-.08,-.02,-.27,-.34,.28
1902,-.29,-.35,-.22,-.54,-.05,-.35,-1.53,-.51,-.32,-.04,-.06,-.28,-.43,-.03
1903,-.38,-.39,-.37,-.47,-.30,-.38,-.23,-.43,-.56,-.27,-.34,-.35,-.40,-.48
1904,-.48,-.50,-.46,-.52,-.48,-.44,-.21,-.61,-.56,-.47,-.49,-.37,-.49,-1.31
1905,-.27,-.30,-.23,-.42,-.10,-.36,-.06,-.24,-.63,-.14,-.06,-.33,-.37,-.32
1906,-.23,-.24,-.21,-.26,-.19,-.23,-.27,-.08,-.40,-.20,-.18,-.21,-.22,-.70
1907,-.39,-.48,-.30,-.60,-.32,-.29,-.59,-.74,-.53,-.32,-.31,-.21,-.37,-1.19
1908,-.43,-.47,-.40,-.49,-.45,-.36,-.26,-.56,-.52,-.44,-.47,-.29,-.48,.69
1909,-.49,-.51,-.48,-.55,-.49,-.44,-.77,-.64,-.45,-.46,-.53,-.37,-.52,-.56
1910,-.45,-.46,-.43,-.43,-.51,-.38,-.63,-.25,-.50,-.51,-.51,-.33,-.45,.17
1911,-.45,-.43,-.47,-.43,-.44,-.48,-.30,-.42,-.48,-.44,-.45,-.44,-.53,.06
1912,-.37,-.48,-.26,-.61,-.21,-.37,-.52,-.80,-.51,-.29,-.11,-.37,-.29,-1.62
1913,-.35,-.43,-.26,-.45,-.28,-.35,-.51,-.34,-.52,-.41,-.15,-.28,-.40,-1.03
1914,-.16,-.20,-.11,-.26,-.07,-.18,-.39,-.17,-.29,-.13,-.02,-.15,-.18,-.35
1915,-.15,-.15,-.13,-.24,-.02,-.22,-.61,-.17,-.20,-.02,-.02,-.15,-.23,-1.97
1916,-.37,-.44,-.31,-.38,-.46,-.23,-.54,-.55,-.25,-.51,-.41,-.23,-.17,-1.04
1917,-.47,-.59,-.36,-.51,-.65,-.19,-.84,-.51,-.44,-.71,-.59,-.23,-.09,.07
1918,-.30,-.41,-.20,-.42,-.35,-.14,-1.04,-.28,-.36,-.40,-.29,-.06,-.23,-.27
1919,-.28,-.36,-.20,-.44,-.21,-.22,-.72,-.57,-.31,-.25,-.18,-.15,-.32,.21
1920,-.28,-.31,-.24,-.26,-.27,-.32,-.05,-.21,-.35,-.39,-.14,-.19,-.48,-1.13
1921,-.20,-.13,-.27,.00,-.27,-.31,-.05,.16,-.10,-.31,-.22,-.23,-.38,-.83
1922,-.29,-.29,-.30,-.25,-.33,-.27,-.32,-.41,-.13,-.34,-.33,-.25,-.28,-.27
1923,-.27,-.23,-.31,-.16,-.31,-.34,.16,-.16,-.26,-.34,-.28,-.27,-.41,-.54
1924,-.28,-.19,-.36,-.13,-.27,-.43,.50,-.26,-.23,-.28,-.26,-.40,-.45,-.52
1925,-.23,-.15,-.30,-.04,-.25,-.37,-.06,.17,-.19,-.29,-.21,-.25,-.55,-.85
1926,-.11,.01,-.22,.02,.00,-.40,.56,.15,-.22,-.01,.02,-.35,-.45,-.63
1927,-.22,-.14,-.30,-.13,-.17,-.38,.03,-.22,-.13,-.15,-.18,-.31,-.45,-1.37
1928,-.21,-.11,-.29,-.08,-.16,-.39,.66,-.18,-.23,-.16,-.17,-.29,-.48,-2.11
1929,-.37,-.34,-.38,-.38,-.29,-.45,.12,-.62,-.38,-.28,-.29,-.43,-.44,-1.07
1930,-.16,-.02,-.29,.04,-.12,-.42,.50,.04,-.10,-.11,-.13,-.33,-.47,-2.59
1931,-.10,.05,-.22,.01,.07,-.43,.56,-.04,-.14,.10,.05,-.42,-.40,-.40
1932,-.16,-.06,-.26,.03,-.17,-.34,.45,.20,-.21,-.19,-.15,-.21,-.53,-.98
1933,-.29,-.26,-.32,-.24,-.29,-.34,-.15,-.47,-.12,-.28,-.29,-.22,-.48,-1.14
1934,-.13,-.01,-.25,.17,-.26,-.26,.89,.31,-.13,-.27,-.25,-.15,-.38,-.56
1935,-.20,-.10,-.30,-.05,-.19,-.37,.33,-.05,-.17,-.17,-.21,-.30,-.41,-1.70
1936,-.15,-.04,-.26,-.03,-.14,-.30,.41,.11,-.26,-.06,-.21,-.27,-.33,-.02
1937,-.03,.12,-.18,.20,-.06,-.22,1.23,.03,-.03,.00,-.12,-.19,-.25,.37
1938,.00,.16,-.18,.39,-.23,-.10,1.52,.39,.03,-.19,-.28,-.06,-.11,-.86
1939,-.02,.08,-.13,.22,-.13,-.12,.55,.28,.08,-.13,-.14,-.05,-.18,-1.59
1940,.12,.17,.09,.11,.27,-.07,.99,-.02,-.09,.25,.28,.03,-.20,-.05
1941,.18,.22,.16,.01,.48,-.05,.01,-.10,.08,.53,.43,.03,-.15,-.46
1942,.06,.12,.00,.13,.06,-.01,.72,-.07,.06,.10,.03,.05,-.05,-.89
1943,.08,.18,-.01,.37,-.10,.04,1.42,.28,.11,-.12,-.07,.07,.00,1.15
1944,.20,.27,.14,.38,.18,.05,1.18,.47,.09,.10,.26,.18,-.09,-.97
1945,.09,.10,.09,.11,.16,-.03,.65,-.02,.04,.10,.23,.04,.00,-1.80
1946,-.08,.02,-.17,.06,-.05,-.24,-.04,-.05,.16,-.03,-.08,-.22,-.24,-.20
1947,-.03,.08,-.14,.15,-.07,-.16,1.07,-.13,.04,-.03,-.10,-.19,-.08,-.23
1948,-.11,-.02,-.20,.13,-.19,-.24,.12,.31,.00,-.23,-.15,-.19,-.19,-1.41
1949,-.11,-.03,-.20,.11,-.19,-.23,.20,.17,.05,-.23,-.15,-.17,-.15,-2.01
1950,-.18,-.15,-.21,-.05,-.30,-.14,.18,-.31,.04,-.31,-.29,-.06,-.16,-.86
1951,-.07,.04,-.18,.08,-.06,-.23,.07,.01,.12,-.01,-.12,-.22,-.16,-.70
1952,.01,.06,-.04,.11,.01,-.09,.27,-.10,.19,-.01,.04,-.10,-.02,-.52
1953,.08,.24,-.07,.35,.07,-.18,1.03,.35,.14,.08,.06,-.08,-.24,-1.13
1954,-.13,-.02,-.25,.07,-.22,-.22,.80,-.21,.00,-.14,-.29,-.17,-.20,-.81
1955,-.14,-.09,-.20,.05,-.34,-.06,-.23,-.11,.23,-.30,-.39,-.16,-.08,1.21
1956,-.19,-.23,-.16,-.20,-.33,.01,.01,-.48,-.09,-.29,-.38,-.14,.02,.77
1957,.05,.04,.05,.03,.08,.02,.09,.22,-.11,.05,.10,-.09,-.02,.49
1958,.06,.15,-.03,.08,.21,-.15,-.18,.14,.13,.26,.15,-.08,-.08,-.56
1959,.03,.13,-.06,.16,.07,-.16,.49,.18,.05,.07,.08,-.03,-.26,-.39
1960,-.03,.08,-.13,.09,.02,-.20,.34,-.07,.11,.06,-.03,-.10,-.07,-.78
1961,.06,.08,.03,.19,-.03,.05,-.16,.38,.18,-.07,.00,.14,-.17,.21
1962,.03,.13,-.06,.24,-.05,-.07,.44,.31,.14,-.05,-.05,.09,-.07,-.65
1963,.05,.14,-.03,.14,.12,-.12,-.16,.31,.13,.13,.10,-.10,-.17,-.03
1964,-.20,-.19,-.20,-.23,-.14,-.24,-.65,-.20,-.11,-.14,-.14,-.30,-.07,-.37
1965,-.11,-.14,-.07,-.19,-.03,-.13,-.28,-.24,-.12,-.08,.02,-.23,-.03,.00
1966,-.06,-.02,-.09,-.14,.08,-.15,-.76,-.19,.09,.16,.00,-.24,-.14,.12
1967,-.02,.03,-.07,.12,-.14,-.01,.36,.26,-.05,-.11,-.17,-.09,-.02,.31
1968,-.08,-.07,-.09,-.11,-.06,-.08,-.33,-.02,-.08,-.02,-.11,-.14,.00,-.07
1969,.05,-.03,.14,-.29,.34,.02,-.04,-.61,-.17,.35,.32,.00,.13,-.16
1970,.03,-.04,.09,-.11,.07,.12,-.20,-.13,-.06,.07,.07,.11,.03,.35
1971,-.08,-.15,-.01,-.06,-.26,.13,-.08,.01,-.10,-.29,-.22,.03,.16,.48
1972,.01,-.18,.20,-.34,.17,.15,-.37,-.47,-.25,.06,.27,.16,-.02,.48
1973,.16,.09,.23,.10,.19,.18,.06,.27,.01,.08,.30,.21,.08,.34
1974,-.07,-.18,.03,-.14,-.20,.18,-.19,-.07,-.18,-.23,-.17,.21,-.08,.65
1975,-.01,-.05,.02,.12,-.24,.16,.10,.39,-.05,-.31,-.17,.13,.14,.31
1976,-.10,-.21,.01,-.26,-.11,.09,-.08,-.32,-.28,-.13,-.10,.10,.22,-.22
1977,.18,.12,.24,.13,.16,.25,.16,.24,.06,.10,.22,.21,.31,.28
1978,.07,.02,.11,-.03,.08,.15,-.16,.04,-.04,.10,.05,.20,.13,.02
1979,.16,.08,.25,-.03,.26,.23,-.61,.07,.08,.26,.27,.29,.33,-.21
1980,.26,.17,.34,.06,.31,.38,.26,.02,.02,.33,.28,.35,.37,.56
1981,.32,.37,.27,.48,.18,.35,1.09,.79,.08,.22,.14,.28,.38,.62
1982,.14,.05,.22,-.08,.27,.18,-.40,.10,-.09,.25,.29,.18,.32,-.11
1983,.31,.25,.38,.22,.43,.25,.19,.69,-.07,.29,.57,.21,.41,.10
1984,.15,.04,.27,.01,.18,.26,.36,.08,-.14,.07,.29,.16,.32,.54
1985,.12,.00,.23,-.03,.09,.31,.39,-.26,-.02,.04,.13,.29,.44,.07
1986,.18,.13,.23,.10,.22,.20,.01,.28,.03,.17,.27,.25,.25,-.09
1987,.32,.25,.40,.04,.58,.25,-.36,.13,.11,.55,.61,.32,.25,.01
1988,.39,.37,.41,.40,.37,.40,.59,.57,.23,.32,.42,.38,.20,.93
1989,.27,.27,.28,.40,.12,.34,.33,.69,.25,.06,.18,.36,.30,.40
1990,.45,.53,.37,.63,.37,.37,.58,.88,.48,.38,.36,.37,.37,.37
1991,.40,.41,.40,.47,.36,.40,.75,.66,.26,.32,.40,.31,.29,.98
1992,.22,.13,.31,.09,.28,.27,-.17,.44,-.04,.20,.36,.20,.33,.41
1993,.23,.19,.28,.12,.32,.22,.54,.30,-.12,.28,.35,.27,.39,-.28
1994,.31,.37,.26,.43,.31,.21,.34,.50,.41,.28,.34,.26,.23,-.02
1995,.44,.58,.32,.69,.42,.22,1.31,.99,.31,.40,.44,.29,.15,.16
1996,.33,.26,.40,.23,.32,.45,.77,.17,.10,.31,.32,.33,.28,1.32
1997,.46,.52,.42,.53,.51,.34,.76,.90,.22,.50,.52,.42,.36,.04
1998,.61,.70,.51,.78,.69,.32,.86,.94,.65,.60,.79,.39,.31,.14
1999,.38,.48,.28,.70,.20,.30,.40,.80,.73,.15,.25,.46,.19,.02
2000,.39,.50,.28,.69,.24,.29,.97,.80,.54,.20,.28,.42,.10,.27
2001,.53,.64,.43,.80,.42,.42,1.06,.86,.68,.40,.44,.58,.24,.25
2002,.63,.71,.54,.82,.59,.48,1.25,1.00,.57,.55,.63,.50,.31,.78
2003,.61,.74,.49,.84,.63,.36,1.49,.98,.53,.61,.66,.44,.24,.37
2004,.53,.65,.41,.72,.55,.32,.46,.95,.66,.56,.53,.48,.23,-.04
2005,.67,.85,.50,1.01,.62,.42,1.98,1.22,.56,.62,.61,.49,.18,.67
2006,.64,.81,.46,.98,.55,.40,1.75,1.06,.69,.56,.54,.51,.19,.45
2007,.66,.84,.47,1.12,.46,.48,2.08,1.32,.68,.44,.47,.50,.07,1.26
2008,.54,.67,.40,.91,.37,.40,1.53,1.07,.61,.33,.41,.53,.09,.64
2009,.65,.72,.59,.77,.67,.51,1.42,.60,.67,.65,.70,.60,.15,.99
2010,.72,.90,.55,1.02,.68,.48,2.23,.87,.73,.71,.64,.64,.20,.53
2011,.61,.74,.47,.98,.36,.56,2.32,.94,.57,.38,.35,.64,.19,1.09
2012,.64,.80,.49,1.02,.52,.43,2.12,.93,.73,.47,.56,.56,.20,.46
2013,.68,.80,.55,.94,.58,.54,1.53,1.04,.69,.58,.57,.63,.24,.87
2014,.75,.92,.58,1.07,.67,.53,2.05,1.14,.72,.69,.64,.73,.19,.56
2015,.90,1.18,.62,1.31,.95,.40,2.02,1.48,.99,.97,.93,.75,.20,-.35
2016,1.01,1.30,.73,1.54,1.01,.49,3.24,1.43,1.06,.95,1.06,.67,.28,.37
2017,.91,1.17,.66,1.38,.80,.60,2.50,1.38,1.02,.85,.75,.76,.38,.52
2018,.85,1.04,.66,1.24,.67,.68,2.16,1.09,1.05,.73,.62,.79,.41,.91
2019,.98,1.21,.74,1.42,.89,.64,2.76,1.43,.99,.90,.88,.74,.41,.80
2020,1.00,1.34,.67,1.66,.84,.57,2.86,1.81,1.18,.87,.81,.59,.39,.84
2021,.85,1.14,.55,1.43,.65,.53,2.06,1.36,1.26,.72,.58,.73,.33,.29
2022,.89,1.16,.62,1.52,.56,.71,2.35,1.50,1.27,.62,.49,.79,.40,1.07
2023,1.17,1.49,.85,1.78,1.06,.72,2.57,1.87,1.46,1.08,1.03,.91,.46,.64
2024,1.28,1.65,.91,1.95,1.18,.74,2.90,1.95,1.65,1.21,1.15,.88,.54,.67
